PARTICIPANT,ITEM,FCTASG,FCFTAGR,EPT,GROUP,Frequent,number,LIKERT,MINT
L2SPAN001,ciudad,1,1,0,L2SPANISH,f,s,5,19
L2SPAN001,hermandades,0,1,0,L2SPANISH,nf,p,3,19
L2SPAN001,oracion,1,1,0,L2SPANISH,f,s,3,19
L2SPAN001,cancion ,1,1,0,L2SPANISH,f,s,5,19
L2SPAN001,respiracion,1,1,0,L2SPANISH,nf,s,5,19
L2SPAN001,hermandad,1,1,0,L2SPANISH,nf,s,1,19
L2SPAN001,inundaciones,1,1,0,L2SPANISH,nf,p,1,19
L2SPAN001,respiraciones,1,0,0,L2SPANISH,nf,p,1,19
L2SPAN001,habitaciones,1,1,0,L2SPANISH,f,p,1,19
L2SPAN001,soledades,1,1,0,L2SPANISH,nf,p,3,19
L2SPAN001,habitacion,1,0,1,L2SPANISH,f,s,3,19
L2SPAN001,oraciones,0,0,0,L2SPANISH,f,p,5,19
L2SPAN001,soledad,1,1,0,L2SPANISH,nf,s,5,19
L2SPAN001,ciudaes,0,0,0,L2SPANISH,f,p,1,19
L2SPAN001,inundacion,1,1,0,L2SPANISH,nf,s,1,19
L2SPAN001,canciones,1,1,0,L2SPANISH,f,p,1,19
L2SPAN004,ciudad,1,1,1,L2SPANISH,f,s,7,18
L2SPAN004,hermandades,0,0,0,L2SPANISH,nf,p,1,18
L2SPAN004,oracion,1,1,1,L2SPANISH,f,s,4,18
L2SPAN004,cancion ,1,1,1,L2SPANISH,f,s,5,18
L2SPAN004,respiracion,1,1,1,L2SPANISH,nf,s,3,18
L2SPAN004,hermandad,1,0,0,L2SPANISH,nf,s,2,18
L2SPAN004,inundaciones,1,1,1,L2SPANISH,nf,p,3,18
L2SPAN004,respiraciones,1,1,1,L2SPANISH,nf,p,1,18
L2SPAN004,habitaciones,1,1,1,L2SPANISH,f,p,5,18
L2SPAN004,soledades,0,0,0,L2SPANISH,nf,p,1,18
L2SPAN004,habitacion,1,1,1,L2SPANISH,f,s,5,18
L2SPAN004,oraciones,0,1,1,L2SPANISH,f,p,4,18
L2SPAN004,soledad,1,0,0,L2SPANISH,nf,s,3,18
L2SPAN004,ciudades,1,1,1,L2SPANISH,f,p,7,18
L2SPAN004,inundacion,1,1,1,L2SPANISH,nf,s,2,18
L2SPAN004,canciones,1,1,1,L2SPANISH,f,p,5,18
L2SPAN005,ciudad,1,1,1,L2SPANISH,f,s,3,12
L2SPAN005,hermandades,0,0,0,L2SPANISH,nf,p,1,12
L2SPAN005,oracion,1,1,1,L2SPANISH,f,s,4,12
L2SPAN005,cancion ,0,1,0,L2SPANISH,f,s,2,12
L2SPAN005,respiracion,0,0,0,L2SPANISH,nf,s,1,12
L2SPAN005,hermandad,1,0,0,L2SPANISH,nf,s,1,12
L2SPAN005,inundaciones,0,1,0,L2SPANISH,nf,p,1,12
L2SPAN005,respiraciones,0,1,0,L2SPANISH,nf,p,1,12
L2SPAN005,habitaciones,0,1,1,L2SPANISH,f,p,4,12
L2SPAN005,soledades,1,0,0,L2SPANISH,nf,p,2,12
